期刊名,影响因子,出版商,分区,审稿速度,备注
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,8.2,IEEE,1,4,
REMOTE SENSING,5,MDPI,2,1.5,
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,4.8,IEEE,2,3.4,
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,5.5,IEEE,3,3,
INTERNATIONAL JOURNAL OF REMOTE SENSING,3.4,Taylor & Francis,3,4,
SENSORS,3.9,MDPI,3,1.7,
COMPUTERS AND ELECTRONICS IN AGRICULTURE,8.3,Elsevier,1,12,
FRONTIERS IN PLANT SCIENCE,5.6,Frontiers Media S.A.,2,3.5,
INFRARED PHYSICS TECHNOLOGY,3.3,Elsevier,2,3,√
JOURNAL OF APPLIED REMOTE SENSING,1.7,SPIE,4,4.5,√
SPECTROSCOPY AND SPECTRAL ANALYSIS,0.7,Science Press,4,1.4,
MULTIMEDIA TOOLS AND APPLICATIONS,3.6,Springer ,4,4.8,
IEEE ACCESS,3.9,IEEE,3,1.5,
SPECTROCHIMICA ACTA PART A MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,4.4,Elsevier,2,4.1,
APPLIED SCIENCES BASEL,2.7,MDPI,4,2.7,√
IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,10.4,IEEE,1,2.7,
LASER OPTOELECTRONICS PROGRESS,1,Universitat zu Koln,4,,
REMOTE SENSING OF ENVIRONMENT,13.5,Elsevier,1,3.3,
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,7.5,Elsevier,1,1.5,
JOURNAL OF REMOTE SENSING,,,,,遥感学报
FOODS,5.2,MDPI,2,2.7,
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,12.7,Elsevier,1,9,
SCIENTIFIC REPORTS,4.6,Springer ,3,2.5,
COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,3.9,Hindawi ,3,5,
IEEE TRANSACTIONS ON IMAGE PROCESSING,10.6,IEEE,1,8.1,
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,4.3,Academic Press Inc.,2,6.8,
APPLIED OPTICS,1.9,The Optical Society,4,3.3,√
